Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Asia,China,487560.7,444178.1,58134,1171358.8,324972.0,,152973.0,27777.5,,2666954.1,640.6547598,972.750039,407.40307200000007,5643.606698400001,1138.701888,536.0173920000001,,121.66545,,9460.799299200002,CHN
Americas,United States,121361.1,152379.1,102475,194131.4,86625.0,15278.0,541051.1,7288.0,3630.5,1224219.2,201.99341484,440.49750228000005,807.9129,850.295532,341.47575,1658.8626726,46.842347999999994,31.92144,23.852385,4403.65394472,USA
Asia,India,75510.9,37185.3,7540,242562.7,43440.0,656.0,27240.0,789.0,,434923.9,99.22132259999998,81.435807,52.84032,1168.6670886000002,152.21376,95.44896,2.2986240000000007,3.45582,,1655.5817022,IND
Asia,Japan,32614.2,5045.9,11608,54167.0,34696.0,9191.0,86461.0,3435.83,436.0,237654.93,42.8550588,11.050521,81.348864,260.976606,121.57478400000001,302.959344,32.205264,15.0489354,3.055488,871.0748651999999,JPN
Europe,Russia,2381.6,2453.2,28576,37312.1,51279.0,,112074.0,154.0,50.0,234279.9,2.50353792,6.4470095999999995,175.22803199999996,130.74159840000002,157.22141399999998,441.795708,,0.67452,0.3066,914.91841992,
Americas,Brazil,21636.1,33763.4,1990,3101.0,106828.0,4410.0,18844.3,13461.0,,204033.8,36.011124839999994,97.60323672,15.68916,13.58238,421.115976,57.77662379999999,13.52106,58.95918,,714.2587413599999,BRA
Europe,Germany,30036.3,48171.0,,29700.5,6673.0,1147.0,32657.5,1103.0,,149488.3,31.574158559999997,126.593388,,104.070552,20.459417999999996,128.735865,3.3157476,4.83114,,419.58026916,DEU
Americas,Canada,3867.4,16871.0,14629,3080.8,76133.0,2341.0,25924.6,1545.0,,144391.80000000002,6.436900560000001,48.77068680000001,115.335036,13.493904,300.116286,79.4848236,7.177505999999999,6.7671,,577.58224296,CAN
Asia,South Korea,7645.9,1453.2,27071,41195.0,5960.0,523.0,49835.0,1154.0,,134837.1,10.0467126,3.182508,189.71356800000004,198.47751000000002,20.88384,174.62184,1.8325920000000002,5.05452,,603.8130906,KOR
Europe,France,12209.0,25318.6,64040,1907.0,17637.0,1812.0,9885.0,408.0,,133216.6,12.834100799999998,66.53728079999999,392.69328,6.6821280000000005,54.075042,38.96667,5.238129600000001,1.78704,,578.8136712,FRA
Europe,Spain,30562.8,29970.9,7408,2115.2,13448.0,2581.0,28215.0,543.0,,114843.9,32.12761535999999,78.7635252,45.425855999999996,7.4116608,41.231567999999996,111.22353,7.4611548,2.37834,,326.0232501599999,ESP
Asia,Saudi Arabia,3524.4,400.0,,,,26980.7,73218.2,,,104123.3,4.6310616,0.876,,,,256.55657279999997,94.54037280000001,,,356.60400719999996,SAU
Asia,Iran,592.1,502.0,1000,,11918.0,305.0,78446.0,,,92763.1,0.7780194,1.09938,7.008,,41.760672,274.874784,1.06872,,,326.58957539999994,IRN
Americas,Mexico,13170.2,8334.6,1608,5378.0,11434.0,4117.5,47064.4,306.0,905.0,92317.70000000001,21.920480880000003,24.09366168,12.677472,23.55564,45.072828,144.2994504,12.624255,1.34028,5.94585,291.52991796000003,MEX
Europe,United Kingdom,9886.7,29775.7,6534,,3578.0,599.0,35988.0,4305.0,,90666.4,10.39289904,78.2505396,40.06648799999999,,10.970148,141.864696,1.7315892000000002,18.8559,,302.13225984,GBR
Asia,Indonesia,614.5,157.0,,54683.6,4552.0,606.0,23523.0,3977.0,2320.0,90433.1,0.807453,0.34383,,263.46558480000004,15.950208000000002,82.424592,2.123424,17.41926,16.25856,398.7929118,IDN
