Date last researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel,Status,Conversion/Replacement?,Unit conversion year,Start Year,Retired Year,Hydrogen Capable,Operator(s),Operator Name(s) in Local Language / Script,Owner(s),Owner Name(s) in Local Language / Script,Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL,,
1.8.2024,South Korea,Aegon Energy power station,--,,,8.1,bioenergy: wood & other biomass (solids),operating,,,2015,,,,,Aegon Energy,,37.4521,126.6676,approximate,,,,,Eastern Asia,Asia,L100001019406,G100001021919,,,https://www.gem.wiki/Aegon_Energy_power_station,,
23.7.2024,United Arab Emirates,Al Qusais Landfill power station,--,,Al Qusais Landfill Internal Combustion Plant,12,bioenergy: refuse (landfill gas),announced,,,,,,,,Dubai Electricity and Water Authority PJSC,هيئة كهرباء ومياه دبي,25.27442,55.43852,exact,,,,,Western Asia,Asia,L100001019004,G100001021369,,,https://www.gem.wiki/Al_Qusais_Landfill_power_station,,
24.7.2024,India,Ambasamudram power station,1,,,25,bioenergy: agricultural waste (solids),operating,,,2010,,,Empee Sugars & Chemicals,,Empee Sugars & Chemicals Ltd,,8.77162,77.47218,exact,,,,,Southern Asia,Asia,L100001019052,G100001021450,,,https://www.gem.wiki/Ambasamudram_power_station,,
24.7.2024,India,Ambasamudram power station,2,,,25,bioenergy: agricultural waste (solids),operating,,,2010,,,Empee Sugars & Chemicals,,Empee Sugars & Chemicals Ltd,,8.77162,77.47218,exact,,,,,Southern Asia,Asia,L100001019052,G100001021453,,,https://www.gem.wiki/Ambasamudram_power_station,,
24.7.2024,China,Anhui Anqing (Wanneng) power station,1.Feb,安庆市城市生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2011,,,Anqing Wanneng Zhongke Environmental Protection Power CO LTD,安庆皖能中科环保电力有限公司,,,30.52596,116.885523,exact,Shankou,Daguan District,Anqing,Anhui,Eastern Asia,Asia,L100001019070,G100001021482,,,https://www.gem.wiki/Anhui_Anqing_(Wanneng)_power_station,,
24.7.2024,China,Anhui Anqing (Wanneng) power station,2.Feb,安庆市城市生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2011,,,Anqing Wanneng Zhongke Environmental Protection Power CO LTD,安庆皖能中科环保电力有限公司,,,30.52596,116.885523,exact,Shankou,Daguan District,Anqing,Anhui,Eastern Asia,Asia,L100001019070,G100001021483,,,https://www.gem.wiki/Anhui_Anqing_(Wanneng)_power_station,,
24.7.2024,China,Anhui Anqing (Wanneng) power station,1,安庆市城市生活垃圾焚烧发电项目,,18,bioenergy: refuse (municipal and industrial wastes),operating,,,2020,,,Anqing Wanneng Zhongke Environmental Protection Power CO LTD,安庆皖能中科环保电力有限公司,,,30.52596,116.885523,exact,Shankou,Daguan District,Anqing,Anhui,Eastern Asia,Asia,L100001019070,G100001021481,,,https://www.gem.wiki/Anhui_Anqing_(Wanneng)_power_station,,
8.8.2024,China,Anhui Chizhou power station,1,池州市生活垃圾焚烧发电项目,,7.5,bioenergy: refuse (municipal and industrial wastes),operating,,,2019,,,Chizhou Wanneng Environmental Protection Power CO LTD,池州皖能环保电力有限公司,,,30.591447,117.4492,exact,Juanqiao,Guichi District,Chizhou,Anhui,Eastern Asia,Asia,L100001019621,G100001022226,,,https://www.gem.wiki/Anhui_Chizhou_power_station,,
8.8.2024,China,Anhui Chizhou power station,2,池州市生活垃圾焚烧发电项目,,12,bioenergy: refuse (municipal and industrial wastes),operating,,,2024,,,Chizhou Wanneng Environmental Protection Power CO LTD,池州皖能环保电力有限公司,,,30.591447,117.4492,exact,Juanqiao,Guichi District,Chizhou,Anhui,Eastern Asia,Asia,L100001019621,G100001022227,,,https://www.gem.wiki/Anhui_Chizhou_power_station,,
6.8.2024,China,Anhui Dangshan (Everbright) power station,1,砀山县生活垃圾焚烧发电项目,,6,bioenergy: refuse (municipal and industrial wastes),operating,,,2016,,,Everbright Environmental Protection Energy (Dangshan) CO LTD,光大环保能源（砀山）有限公司,,,34.414361,116.416052,exact,,Dangshan,Suzhou,Anhui,Eastern Asia,Asia,L100001019541,G100001022100,,,https://www.gem.wiki/Anhui_Dangshan_(Everbright)_power_station,,
