STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2014,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2015,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2016,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2017,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2018,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2019,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2020,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2021,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2022,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AL,Albania,2023,,0.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2014,,7709.120,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2015,,6072.549,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2016,,7498.885,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2017,,8464.450,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2018,,7830.957,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2019,,11377.632,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2020,,6462.232,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2021,,4754.663,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2022,,12190.070,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,AT,Austria,2023,,7117.618,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,BA,Bosnia and Herzegovina,2014,,186.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,BA,Bosnia and Herzegovina,2015,,218.000,,,,,
