reporter,partner,year,volume_mio_m3,unit
AL,TOTAL,2014,0.0,MIO_M3
AL,TOTAL,2015,0.0,MIO_M3
AL,TOTAL,2016,0.0,MIO_M3
AL,TOTAL,2017,0.0,MIO_M3
AL,TOTAL,2018,0.0,MIO_M3
AL,TOTAL,2019,0.0,MIO_M3
AL,TOTAL,2020,0.0,MIO_M3
AL,TOTAL,2021,0.0,MIO_M3
AL,TOTAL,2022,0.0,MIO_M3
AL,TOTAL,2023,0.0,MIO_M3
AT,TOTAL,2014,7709.12,MIO_M3
AT,TOTAL,2015,6072.549,MIO_M3
AT,TOTAL,2016,7498.885,MIO_M3
AT,TOTAL,2017,8464.45,MIO_M3
AT,TOTAL,2018,7830.957,MIO_M3
AT,TOTAL,2019,11377.632,MIO_M3
AT,TOTAL,2020,6462.232,MIO_M3
AT,TOTAL,2021,4754.663,MIO_M3
AT,TOTAL,2022,12190.07,MIO_M3
AT,TOTAL,2023,7117.618,MIO_M3
BA,TOTAL,2014,186.0,MIO_M3
BA,TOTAL,2015,218.0,MIO_M3
BA,TOTAL,2016,227.0,MIO_M3
BA,TOTAL,2017,245.0,MIO_M3
BA,TOTAL,2018,244.604,MIO_M3
BA,TOTAL,2019,230.98,MIO_M3
BA,TOTAL,2020,210.686,MIO_M3
BA,TOTAL,2021,253.953,MIO_M3
BA,TOTAL,2022,247.419,MIO_M3
BA,TOTAL,2023,223.2,MIO_M3
BE,TOTAL,2014,16845.8,MIO_M3
BE,TOTAL,2015,18766.1,MIO_M3
BE,TOTAL,2016,18232.8,MIO_M3
BE,TOTAL,2017,17870.2,MIO_M3
BE,TOTAL,2018,19807.1,MIO_M3
BE,TOTAL,2019,23264.2,MIO_M3
BE,TOTAL,2020,21674.2,MIO_M3
BE,TOTAL,2021,21287.4,MIO_M3
BE,TOTAL,2022,24183.3,MIO_M3
BE,TOTAL,2023,22788.9,MIO_M3
BG,TOTAL,2014,2683.0,MIO_M3
BG,TOTAL,2015,3010.0,MIO_M3
BG,TOTAL,2016,3094.0,MIO_M3
BG,TOTAL,2017,3268.781,MIO_M3
BG,TOTAL,2018,3115.07,MIO_M3
BG,TOTAL,2019,2949.968,MIO_M3
BG,TOTAL,2020,2925.938,MIO_M3
BG,TOTAL,2021,3290.561,MIO_M3
BG,TOTAL,2022,2911.098,MIO_M3
BG,TOTAL,2023,2544.113,MIO_M3
CY,TOTAL,2014,0.0,MIO_M3
CY,TOTAL,2015,0.0,MIO_M3
CY,TOTAL,2016,0.0,MIO_M3
CY,TOTAL,2017,0.0,MIO_M3
CY,TOTAL,2018,0.0,MIO_M3
CY,TOTAL,2019,0.0,MIO_M3
CY,TOTAL,2020,0.0,MIO_M3
CY,TOTAL,2021,0.0,MIO_M3
CY,TOTAL,2022,0.0,MIO_M3
CY,TOTAL,2023,0.0,MIO_M3
CZ,TOTAL,2014,7249.0,MIO_M3
CZ,TOTAL,2015,7474.0,MIO_M3
CZ,TOTAL,2016,8123.0,MIO_M3
CZ,TOTAL,2017,8889.0,MIO_M3
CZ,TOTAL,2018,8007.991,MIO_M3
CZ,TOTAL,2019,9533.193,MIO_M3
CZ,TOTAL,2020,7589.967,MIO_M3
CZ,TOTAL,2021,8718.897,MIO_M3
CZ,TOTAL,2022,8612.009,MIO_M3
CZ,TOTAL,2023,6808.332,MIO_M3
DE,TOTAL,2014,89896.0,MIO_M3
DE,TOTAL,2015,102517.0,MIO_M3
DE,TOTAL,2016,97379.0,MIO_M3
DE,TOTAL,2017,118694.443,MIO_M3
DE,TOTAL,2018,88347.545,MIO_M3
DE,TOTAL,2019,94786.76,MIO_M3
DE,TOTAL,2020,80439.019,MIO_M3
DE,TOTAL,2021,84808.432,MIO_M3
DE,TOTAL,2022,87694.613,MIO_M3
DE,TOTAL,2023,71591.397,MIO_M3
DK,TOTAL,2014,624.999,MIO_M3
DK,TOTAL,2015,661.672,MIO_M3
DK,TOTAL,2016,683.855,MIO_M3
DK,TOTAL,2017,520.291,MIO_M3
DK,TOTAL,2018,389.005,MIO_M3
DK,TOTAL,2019,1138.958,MIO_M3
DK,TOTAL,2020,2666.482,MIO_M3
DK,TOTAL,2021,2502.686,MIO_M3
DK,TOTAL,2022,2729.398,MIO_M3
DK,TOTAL,2023,8614.365,MIO_M3
EA20,TOTAL,2014,306561.859,MIO_M3
EA20,TOTAL,2015,326134.731,MIO_M3
EA20,TOTAL,2016,331769.928,MIO_M3
EA20,TOTAL,2017,348395.625,MIO_M3
EA20,TOTAL,2018,324567.095,MIO_M3
EA20,TOTAL,2019,358716.708,MIO_M3
EA20,TOTAL,2020,319674.833,MIO_M3
EA20,TOTAL,2021,329127.91,MIO_M3
EA20,TOTAL,2022,363127.204,MIO_M3
EA20,TOTAL,2023,313239.917,MIO_M3
EE,TOTAL,2014,530.0,MIO_M3
EE,TOTAL,2015,471.0,MIO_M3
EE,TOTAL,2016,518.0,MIO_M3
EE,TOTAL,2017,510.0,MIO_M3
EE,TOTAL,2018,524.0,MIO_M3
EE,TOTAL,2019,485.7,MIO_M3
EE,TOTAL,2020,447.0,MIO_M3
EE,TOTAL,2021,506.15,MIO_M3
EE,TOTAL,2022,420.0,MIO_M3
EE,TOTAL,2023,318.5,MIO_M3
EL,TOTAL,2014,2931.0,MIO_M3
EL,TOTAL,2015,3162.0,MIO_M3
EL,TOTAL,2016,4067.0,MIO_M3
EL,TOTAL,2017,4975.095,MIO_M3
EL,TOTAL,2018,4902.13,MIO_M3
EL,TOTAL,2019,5221.617,MIO_M3
EL,TOTAL,2020,5902.732,MIO_M3
EL,TOTAL,2021,6426.441,MIO_M3
EL,TOTAL,2022,5727.447,MIO_M3
EL,TOTAL,2023,4815.688,MIO_M3
ES,TOTAL,2014,36384.0,MIO_M3
ES,TOTAL,2015,32391.0,MIO_M3
ES,TOTAL,2016,32405.0,MIO_M3
ES,TOTAL,2017,34626.0,MIO_M3
ES,TOTAL,2018,34817.0,MIO_M3
ES,TOTAL,2019,37209.0,MIO_M3
ES,TOTAL,2020,32485.0,MIO_M3
ES,TOTAL,2021,36968.191,MIO_M3
ES,TOTAL,2022,39692.252,MIO_M3
ES,TOTAL,2023,35261.253,MIO_M3
EU27_2020,TOTAL,2014,339354.858,MIO_M3
EU27_2020,TOTAL,2015,357206.403,MIO_M3
EU27_2020,TOTAL,2016,368294.783,MIO_M3
EU27_2020,TOTAL,2017,388908.675,MIO_M3
EU27_2020,TOTAL,2018,362241.571,MIO_M3
EU27_2020,TOTAL,2019,405228.804,MIO_M3
EU27_2020,TOTAL,2020,361800.409,MIO_M3
EU27_2020,TOTAL,2021,374410.785,MIO_M3
EU27_2020,TOTAL,2022,405506.456,MIO_M3
EU27_2020,TOTAL,2023,358888.031,MIO_M3
FI,TOTAL,2014,3063.0,MIO_M3
FI,TOTAL,2015,2713.0,MIO_M3
FI,TOTAL,2016,2496.0,MIO_M3
FI,TOTAL,2017,2322.0,MIO_M3
FI,TOTAL,2018,2641.0,MIO_M3
FI,TOTAL,2019,2594.0,MIO_M3
FI,TOTAL,2020,2568.0,MIO_M3
FI,TOTAL,2021,2565.079,MIO_M3
FI,TOTAL,2022,1371.0,MIO_M3
FI,TOTAL,2023,1776.0,MIO_M3
FR,TOTAL,2014,42763.546,MIO_M3
FR,TOTAL,2015,42398.184,MIO_M3
FR,TOTAL,2016,44423.884,MIO_M3
FR,TOTAL,2017,46519.288,MIO_M3
FR,TOTAL,2018,47133.891,MIO_M3
FR,TOTAL,2019,53287.363,MIO_M3
FR,TOTAL,2020,45363.498,MIO_M3
FR,TOTAL,2021,45397.338,MIO_M3
FR,TOTAL,2022,55415.042,MIO_M3
FR,TOTAL,2023,46165.32,MIO_M3
GE,TOTAL,2014,2243.343,MIO_M3
GE,TOTAL,2015,2554.059,MIO_M3
GE,TOTAL,2016,2310.694,MIO_M3
GE,TOTAL,2017,2390.407,MIO_M3
GE,TOTAL,2018,2357.087,MIO_M3
GE,TOTAL,2019,2685.768,MIO_M3
GE,TOTAL,2020,2690.837,MIO_M3
GE,TOTAL,2021,2785.217,MIO_M3
GE,TOTAL,2022,3346.339,MIO_M3
GE,TOTAL,2023,3352.384,MIO_M3
HR,TOTAL,2014,1133.0,MIO_M3
HR,TOTAL,2015,1050.0,MIO_M3
HR,TOTAL,2016,1265.0,MIO_M3
HR,TOTAL,2017,1818.3,MIO_M3
HR,TOTAL,2018,1589.2,MIO_M3
HR,TOTAL,2019,2003.4,MIO_M3
HR,TOTAL,2020,2143.7,MIO_M3
HR,TOTAL,2021,2290.6,MIO_M3
HR,TOTAL,2022,3021.5,MIO_M3
HR,TOTAL,2023,2868.7,MIO_M3
HU,TOTAL,2014,8942.0,MIO_M3
HU,TOTAL,2015,6790.0,MIO_M3
HU,TOTAL,2016,7552.0,MIO_M3
HU,TOTAL,2017,9845.0,MIO_M3
HU,TOTAL,2018,7740.0,MIO_M3
HU,TOTAL,2019,11669.0,MIO_M3
HU,TOTAL,2020,7936.0,MIO_M3
HU,TOTAL,2021,7479.0,MIO_M3
HU,TOTAL,2022,9314.0,MIO_M3
HU,TOTAL,2023,8211.0,MIO_M3
IE,TOTAL,2014,4245.621,MIO_M3
IE,TOTAL,2015,4234.0,MIO_M3
IE,TOTAL,2016,2004.0,MIO_M3
IE,TOTAL,2017,1652.587,MIO_M3
IE,TOTAL,2018,2040.651,MIO_M3
IE,TOTAL,2019,2852.223,MIO_M3
IE,TOTAL,2020,3437.0,MIO_M3
IE,TOTAL,2021,3662.185,MIO_M3
IE,TOTAL,2022,3846.409,MIO_M3
