Date Last Researched,Country/Area,Project Name,Phase Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Installation Type,Status,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Hydrogen,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
2022/06/23,Argentina,Diadema wind farm,1,Parque Eólico Diadema,,6.3,Onshore,operating,2011,,Hychico,,Hychico,,True,-45.7506,-67.6634,approximate,Comodoro Rivadavia,,Departamento Escalante,Chubut Province,Latin America and the Caribbean,Americas,L100000905332,G100000920239,,,https://www.gem.wiki/Diadema_wind_farm
2022/09/23,Australia,Chepstowe wind farm,--,,,6,Onshore,operating,2015,,Fezero,,Fezero Pty Ltd,,,-37.5965,143.4996,exact,,,,Victoria,Australia and New Zealand,Oceania,L100000917259,G100000921414,,,https://www.gem.wiki/Chepstowe_wind_farm
2022/09/23,Australia,Crookwell wind farm,1,,,4.8,Onshore,operating,1998,,,,,,,-34.5165,149.5425,exact,,,,New South Wales,Australia and New Zealand,Oceania,L100000906097,G100000921416,,,https://www.gem.wiki/Crookwell_wind_farm
2022/09/23,Australia,Denmark Community wind farm,--,,,1.4,Onshore,operating,,,Denmark Community Windfarm,,,,,-35.037,117.319,exact,,,,Western Australia,Australia and New Zealand,Oceania,L100000917261,G100000921417,,,https://www.gem.wiki/Denmark_Community_wind_farm
2023/07/21,Australia,Diapur 2 wind farm,--,,,8,Onshore,operating,,,RPMI Railpen (formerly BayWa),,Prime Super Pty Ltd,,,-36.34,141.4474,exact,,,,Victoria,Australia and New Zealand,Oceania,L100000917262,G100000921418,,,https://www.gem.wiki/Diapur_2_wind_farm
2022/09/23,Australia,Hampton wind farm,--,,,1.3,Onshore,operating,2002,,,,,,,-33.6497,150.0501,exact,,,,New South Wales,Australia and New Zealand,Oceania,L100000917267,G100000921423,,,https://www.gem.wiki/Hampton_wind_farm
2022/09/23,Australia,Hepburn wind farm,--,,,4,Onshore,operating,,,Hepburn Energy,,Hepburn Energy,,,-37.4246,144.1157,exact,,,,Victoria,Australia and New Zealand,Oceania,L100000917268,G100000921424,,,https://www.gem.wiki/Hepburn_wind_farm
2022/09/23,Australia,Kalbarri wind farm,--,,,1.6,Onshore,operating,,,Verve Energy,,Verve Energy,,,-27.8983,114.1924,exact,,,,Western Australia,Australia and New Zealand,Oceania,L100000917271,G100000921427,,,https://www.gem.wiki/Kalbarri_wind_farm
2022/09/23,Australia,Karakin wind farm,--,,,5,Onshore,operating,2013,,,,,,,-30.9422,115.3666,exact,,,,Western Australia,Australia and New Zealand,Oceania,L100000917272,G100000921428,,,https://www.gem.wiki/Karakin_wind_farm
2022/09/23,Australia,Maroona wind farm,--,,,6,Onshore,operating,2010,,,,,,,-37.4188,142.8243,exact,,,,Victoria,Australia and New Zealand,Oceania,L100000917275,G100000921431,,,https://www.gem.wiki/Maroona_wind_farm
2022/09/23,Australia,Timboon West wind farm,--,,,7,Onshore,operating,,,,,,,,-38.5284,142.9162,exact,,,,Victoria,Australia and New Zealand,Oceania,L100000917284,G100000921440,,,https://www.gem.wiki/Timboon_West_wind_farm
2022/09/23,Australia,West Hills wind farm,--,,,5,Onshore,operating,2013,,,,,,,-30.8581,115.4633,exact,,,,Western Australia,Australia and New Zealand,Oceania,L100000917287,G100000921443,,,https://www.gem.wiki/West_Hills_wind_farm
2024/09/30,Barbados,Ashford Plantation wind farm,1,,,1,Onshore,operating,2023,,Pavana Energy CO LTD,,,,,13.1641,-59.4997,exact,,Cherry Grove,Moores,Saint John,Latin America and the Caribbean,Americas,L100001020719,G100001023641,,,https://www.gem.wiki/Ashford_Plantation_wind_farm
