Date Last Researched,Country 1,Country 2,Project Name,Project Name (local lang/script),Other name(s),Capacity (MW),Binational,Country 1 Capacity (MW),Country 2 Capacity (MW),Turbines,Status,Complex,Start Year,Retired Year,Owner,Owner Name (local lang/script),Operator,Operator Name (local lang/script),Technology Type,River / Watercourse,Latitude,Longitude,Location Accuracy,City 1,Local Area 1,Major Area 1,State/Province 1,Subregion 1,Region 1,City 2,Local Area 2,Major Area 2,State/Province 2,Subregion 2,Region 2,GEM location ID,GEM unit ID,Wiki URL
2023-10-12,Argentina,,El Tambolar hydroelectric plant,Central Hidroeléctrica El Tambolar,,70,No,70,0,2 x 35 MW,pre-construction,,,,Energía Provincial Sociedad del Estado (EPSE),,,,conventional storage,Río San Juan,-31.2994,-69.0834,approximate,,,Zonda,San Juan,Latin America and the Caribbean,Americas,,,,,,,L604215,G604369,
2022-09-14,China,,Koktokay hydroelectric plant,可可托海水电站,Keketuohai hydroelectric plant,65,No,65,0,,operating,,1976,,Xinjiang Non-ferrous Metal Industry Group Rare Metal CO LTD,新疆有色集团稀有金属公司,,,conventional storage,Irtysh River,47.1556,89.6985,exact,Koktokay,Fuyun,Ili AP,Xinjiang,Eastern Asia,Asia,,,,,,,L600916,G600923,
2022-09-14,China,,Xiaojin Yangjiawan hydroelectric plant,小金杨家湾水电站,Yanjiawang hydroelectric plant(杨家湾水电站),60,No,60,0,3 x 20 MW,operating,,2018,,POWERCHINA Hydropower Development Group CO LTD,中电建水电开发集团有限公司,Sichuan Xiaojinchuan Hydropower Development CO LTD,四川小金川水电开发有限公司,conventional storage,Fubian River,30.9987,102.3608,approximate,Meixing,Xiaojin,Ngawa AP,Sichuan,Eastern Asia,Asia,,,,,,,L601273,G601289,
2024-01-24,China,,Xinji hydroelectric plant,汉江新集水电站,,60,No,60,0,2 x 30 MW,construction,,2024,,Hanjiang State Assets Group CO LTD [98.2399%]; Others [1.7601%],汉江国有资本投资集团有限公司 [98.2399%]; 其他[1.7601%],Datang Xiangyang Hydropower CO LTD,大唐襄阳水电有限公司,conventional storage,Hanshui River,32.0646,111.9055,approximate,Wolong,Xiangcheng District,Xiangyang,Hubei,Eastern Asia,Asia,,,,,,,L601300,G601316,
2024-01-24,China,,Xinji hydroelectric plant,汉江新集水电站,,60,No,60,0,2 x 30 MW,operating,,2023,,Hanjiang State Assets Group CO LTD [98.2399%]; Others [1.7601%],汉江国有资本投资集团有限公司 [98.2399%]; 其他[1.7601%],Datang Xiangyang Hydropower CO LTD,大唐襄阳水电有限公司,conventional storage,Hanshui River,32.0646,111.9055,approximate,Wolong,Xiangcheng District,Xiangyang,Hubei,Eastern Asia,Asia,,,,,,,L601300,G604958,
2022-09-14,China,,Xinzang hydroelectric plant,新藏水电站,Shuiluohe Xinzang hydroelectric plant(水洛河新藏水电站),62,No,62,0,1 x 62 MW,operating,,2020,,Sichuan Branch of Huadian International Power CO LTD,华电国际电力股份有限公司四川分公司,Sichuan Liangshan Shuiluohe Electric Power Development CO LTD,四川凉山水洛河电力开发有限公司,conventional storage,Shuiluohe River,28.278,100.6504,approximate,Shuiluo,Muli,Liangshan AP,Sichuan,Eastern Asia,Asia,,,,,,,L601303,G601320,
2023-10-18,Colombia,,Cuenca Atrato Alto hydroelectric plant,Central Hidroeléctrica Cuenca Atrato Alto,"CAA, Talasa, Cuenca Atrato Mas Rio Grance, CARG",71,No,71,0,,pre-construction,,2025,,Talasa Projecto SAS,,Talasa Projecto SAS,,run-of-river,Río Atrato,5.8992,-76.1426,approximate,,,El Carmen de Atrato,Chocó,Latin America and the Caribbean,Americas,,,,,,,L601404,G601422,
2022-05-18,Ecuador,,Abanico hydroelectric plant (Ecuador),Central Hidroeléctrica Abanico,,38,No,38,0,,operating,,2006,,,,Hidroabanico SA,,run-of-river,,-2.256,-78.1982,exact,,Morona,,Morona Santiago,Latin America and the Caribbean,Americas,,,,,,,L601488,G601506,
2022-05-18,Ecuador,,Alao hydroelectric plant,Central Hidroeléctrica Alao,,11,No,11,0,,operating,,1967,,,,Empresa Eléctrica Riobamba SA (EERSA),,unknown,,-1.8115,-78.5968,exact,,Riobamba,,Chimborazo,Latin America and the Caribbean,Americas,,,,,,,L601491,G601509,
2023-10-18,Ecuador,,Alto Tambo hydroelectric plant,Central Hidroeléctrica Alto Tambo,,60,No,60,0,,announced,,2028,,,,,,unknown,,0.9575,-78.5427,approximate,,San Lorenzo,,Esmeraldas,Latin America and the Caribbean,Americas,,,,,,,L601492,G601510,
2023-10-18,Ecuador,,Angamarca-Sinde hydroelectric plant,Central Hidroeléctrica Angamarca-Sinde,,30,No,30,0,,pre-construction,,,,,,,,unknown,,-1.1508,-79.1622,exact,,Pangua,,Cotopaxi,Latin America and the Caribbean,Americas,,,,,,,L601493,G601511,
2023-10-18,Ecuador,,Arenal hydroelectric plant (Ecuador),Central Hidroeléctrica Arenal,,40,No,40,0,,announced,,,,,,,,unknown,,0.4725,-78.0428,approximate,,Ibarra,,Imbabura,Latin America and the Caribbean,Americas,,,,,,,L601494,G601512,
2022-05-18,Ecuador,,Baba hydroelectric plant,Central Hidroeléctrica Baba,,42,No,42,0,,operating,,2015,,,,Corporación Eléctrica del Ecuador (CELEC EP),,unknown,,-0.6728,-79.4685,exact,,Buena Fe,,Los Ríos,Latin America and the Caribbean,Americas,,,,,,,L601495,G601513,
2022-05-18,Ecuador,,Calope hydroelectric plant,Central Hidroeléctrica Calope,,17,No,17,0,,operating,,2006,,,,Enermax,,run-of-river,,-0.9941,-79.2388,exact,,La Maná,,Cotopaxi,Latin America and the Caribbean,Americas,,,,,,,L601496,G601514,
2023-10-19,Ecuador,,Chanchan hydroelectric plant,Central Hidroeléctrica Chanchan,,10,No,10,0,,pre-construction,,,,,,,,unknown,,-2.2954,-78.9933,exact,,Alausí,,Chimborazo,Latin America and the Caribbean,Americas,,,,,,,L601498,G601516,
2023-10-18,Ecuador,,Chaumala hydroelectric plant,Central Hidroeléctrica Chaumala,,40,No,40,0,,announced,,,,,,,,unknown,,-2.0786,-79.0233,approximate,,Pallatanga,,Chimborazo,Latin America and the Caribbean,Americas,,,,,,,L601499,G601517,
2023-10-18,Ecuador,,Chinambi hydroelectric plant,Central Hidroeléctrica Chinambi,,10,No,10,0,,pre-construction,,,,,,,,unknown,,0.8005,-78.2993,exact,,Mira,,Carchi,Latin America and the Caribbean,Americas,,,,,,,L601501,G601519,
2023-10-18,Ecuador,,Cinto hydroelectric plant,Central Hidroeléctrica Cinto,,46,No,46,0,,pre-construction,,,,,,,,unknown,,-0.028,-78.8186,exact,,San Miguel de Los Bancos,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601504,G604315,
2023-10-18,Ecuador,,Corazón II hydroelectric plant,Central Hidroeléctrica Corazón II,,18,No,18,0,,pre-construction,,,,,,,,unknown,,-0.4337,-78.7778,exact,Manuel Cornejo Astorga (Tandapi),Machachi,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601506,G604319,
2022-05-18,Ecuador,,Cumbayá hydroelectric plant,Central Hidroeléctrica Cumbayá,,40,No,40,0,,operating,,1962,,,,Empresa Eléctrica Quito SA (EEQ),,unknown,,-0.1855,-78.4169,exact,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601507,G601525,
2022-05-18,Ecuador,,Due hydroelectric plant,Central Hidroeléctrica Due,,64,No,64,0,,operating,,2017,,,,Hidroalto Generacion de Energia SA,,unknown,,0.0382,-77.3939,exact,,Gonzalo Pizarro,,Sucumbíos,Latin America and the Caribbean,Americas,,,,,,,L601509,G601527,
2023-10-19,Ecuador,,El Salto hydroelectric plant,Central Hidroeléctrica El Salto,,30,No,30,0,,pre-construction,,2022,,,,,,unknown,,0.2322,-79.0135,exact,,Pedro Vicente Maldonado,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601510,G601528,
2023-10-18,Ecuador,,Escudillas hydroelectric plant,Central Hidroeléctrica Escudillas,,12,No,12,0,,announced,,,,,,,,unknown,,0.3993,-77.9218,exact,,Pimampiro,,Imbabura,Latin America and the Caribbean,Americas,,,,,,,L601511,G601529,
2022-05-18,Ecuador,,Guangopolo hydroelectric plant,Central Hidroeléctrica Guangopolo,,21,No,21,0,,operating,,1937,,,,Empresa Eléctrica Quito SA (EEQ),,conventional storage,,-0.2615,-78.4543,exact,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601512,G601530,
2022-05-18,Ecuador,,Hidronormandía hydroelectric plant,Central Hidroeléctrica Hidronormandía,Normandia,50,No,50,0,,operating,,2018,,,,Hidronormandía SA,,unknown,,-2.2257,-78.2701,exact,,Morona,,Morona Santiago,Latin America and the Caribbean,Americas,,,,,,,L601513,G601531,
2022-05-18,Ecuador,,Hidrosanbartolo hydroelectric plant,Central Hidroeléctrica Hidrosanbartolo,,50,No,50,0,,operating,,2015,,,,Hidrosanbartolo SA,,run-of-river,,-2.7489,-78.4135,exact,,Santiago de Méndez,,Morona Santiago,Latin America and the Caribbean,Americas,,,,,,,L601514,G601532,
2023-10-18,Ecuador,,Infiernillos hydroelectric plant,Central Hidroeléctrica Infiernillos,,20,No,20,0,,pre-construction,,,,,,,,unknown,,-3.5229,-79.2649,exact,,Saraguro,,Loja,Latin America and the Caribbean,Americas,,,,,,,L601515,G601533,
2023-10-18,Ecuador,,Intag hydroelectric plant,Central Hidroeléctrica Intag,,15,No,15,0,,pre-construction,,,,,,,,unknown,,0.0004,-78.5332,exact,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601516,G604450,
2022-05-18,Ecuador,,Ipnegal hydroelectric plant,Central Hidroeléctrica Ipnegal,,10,No,10,0,,operating,,2018,,,,Hidroelectrica Palmira-Nanegal CEM Ipnegal,,unknown,,0.1831,-78.6926,exact,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601517,G601535,
2023-10-18,Ecuador,,Jondachi-Sardinas hydroelectric plant,Central Hidroeléctrica Jondachi-Sardinas,,24,No,24,0,,pre-construction,,,,,,,,unknown,,-0.8022,-77.756,exact,,Archidona,,Napo,Latin America and the Caribbean,Americas,,,,,,,L601518,G604474,
2023-10-18,Ecuador,,Juval Pulpito hydroelectric plant,Central Hidroeléctrica Juval Pulpito,,27,No,27,0,,pre-construction,,,,,,,,unknown,,-2.5355,-78.5568,exact,,Alausí,,Chimborazo,Latin America and the Caribbean,Americas,,,,,,,L601519,G601537,
2023-10-18,Ecuador,,La Merced De Jondachi hydroelectric plant,Central Hidroeléctrica La Merced de Jondachi,,19,No,19,0,,pre-construction,,,,,,,,run-of-river,,-0.7462,-77.7888,exact,,Archidona,,Napo,Latin America and the Caribbean,Americas,,,,,,,L601520,G601538,
2022-05-18,Ecuador,,Manduriacu hydroelectric plant,Central Hidroeléctrica Manduriacu,,63,No,63,0,,operating,,2015,,,,Corporación Eléctrica del Ecuador (CELEC EP),,conventional storage,,0.2148,-78.9124,exact,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601521,G601539,
2023-10-18,Ecuador,,Mira hydroelectric plant,Central Hidroeléctrica Mira,,41,No,41,0,,pre-construction,,,,,,,,unknown,,0.7121,-78.2041,exact,,Ibarra,,Imbabura,Latin America and the Caribbean,Americas,,,,,,,L601525,G604625,
2023-10-19,Ecuador,,Miravalle hydroelectric plant,Central Hidroeléctrica Miravalle,,50,No,50,0,,pre-construction,,,,,,,,unknown,,0.8224,-78.3433,approximate,,Mira,,Carchi,Latin America and the Caribbean,Americas,,,,,,,L601526,G604626,
2022-05-18,Ecuador,,Nayón hydroelectric plant,Central Hidroeléctrica Nayón,,30,No,30,0,,operating,,1974,,,,Empresa Eléctrica Quito SA (EEQ),,unknown,,-0.1637,-78.4128,exact,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601528,G601546,
2022-05-18,Ecuador,,Ocaña I hydroelectric plant,Central Hidroeléctrica Ocaña I,,26,No,26,0,,operating,,2012,,,,Elecaustro SA,,unknown,,-2.5002,-79.2464,exact,,Cañar,,Cañar,Latin America and the Caribbean,Americas,,,,,,,L601529,G601547,
2023-10-19,Ecuador,,Ocaña II hydroelectric plant,Central Hidroeléctrica Ocaña II,,29,No,29,0,,pre-construction,,,,,,Elecaustro SA,,unknown,,-2.4988,-79.266,approximate,,La Troncal,,Cañar,Latin America and the Caribbean,Americas,,,,,,,L601530,G601548,
2023-10-18,Ecuador,,Pamplona hydroelectric plant,Central Hidroeléctrica Pamplona,,40,No,40,0,,announced,,,,,,,,unknown,,0.2782,-78.584,exact,,Cotacachi,,Imbabura,Latin America and the Caribbean,Americas,,,,,,,L601531,G601549,
2023-10-19,Ecuador,,Pastaza 1 Simón Bolívar hydroelectric plant,Central Hidroeléctrica Pastaza 1 Simón Bolívar,,40,No,40,0,,pre-construction,,,,,,,,unknown,,-1.9129,-77.8252,approximate,,Pastaza,,Pastaza,Latin America and the Caribbean,Americas,,,,,,,L601532,G604712,
2023-10-19,Ecuador,,Pastaza 2 Kumay hydroelectric plant,Central Hidroeléctrica Pastaza 2 Kumay,,40,No,40,0,,pre-construction,,,,,,,,unknown,,-2.0298,-77.6897,approximate,,Taisha,,Morona Santiago,Latin America and the Caribbean,Americas,,,,,,,L601533,G604713,
2022-05-18,Ecuador,,Pilaton-Sarapullo hydroelectric plant,Central Hidroeléctrica Pilaton-Sarapullo,,48,No,48,0,,operating,,2022,,Corporación Eléctrica del Ecuador (CELEC EP),,Corporación Eléctrica del Ecuador (CELEC EP),,unknown,,-0.3677,-78.915,exact,Manuel Cornejo Astorga (Tandapi),Machachi,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601535,G601553,
2022-05-18,Ecuador,,Pucará hydroelectric plant (Ecuador),Central Hidroeléctrica Pucará,,73,No,73,0,,operating,,1977,,,,Corporación Eléctrica del Ecuador (CELEC EP),,conventional storage,,-1.0793,-78.4552,exact,,Santiago de Pillaro,,Tungurahua,Latin America and the Caribbean,Americas,,,,,,,L601536,G601554,
2022-05-18,Ecuador,,Pusuno hydroelectric plant,Central Hidroeléctrica Pusuno,,38,No,38,0,,operating,,2019,,,,ElitEnergy,,unknown,,-1.0071,-77.6017,exact,,Tena,,Napo,Latin America and the Caribbean,Americas,,,,,,,L601537,G601555,
2023-10-19,Ecuador,,Quijos hydroelectric plant,Central Hidroeléctrica Quijos,,51,No,51,0,,pre-construction,,,,Corporación Eléctrica del Ecuador (CELEC EP),,,,run-of-river,Río Papallacta y Río Quijos,-0.4367,-77.9707,exact,,Quijos,,Napo,Latin America and the Caribbean,Americas,,,,,,,L601538,G601556,
2023-10-18,Ecuador,,Rayo I hydroelectric plant,Central Hidroeléctrica Rayo I,,10,No,10,0,,pre-construction,,,,,,,,unknown,,-0.5428,-79.1134,exact,,Valencia,,Los Ríos,Latin America and the Caribbean,Americas,,,,,,,L601539,G601557,
2022-05-18,Ecuador,,Recuperadora hydroelectric plant,Central Hidroeléctrica Recuperadora,,15,No,15,0,,operating,,1990,,,,Empresa Pública Metropolitana de Agua Potable y Saneamiento de Quito (EPMAPS),,unknown,,-0.2641,-78.2844,approximate,,Quito Canton,,Pichincha,Latin America and the Caribbean,Americas,,,,,,,L601540,G601558,
2022-05-18,Ecuador,,Rio Verde Chico hydroelectric plant,Central Hidroeléctrica Rio Verde Chico,,10,No,10,0,,operating,,2019,,,,Hidrosierra SA,,unknown,,-1.3704,-78.4042,exact,Baños de Agua Santa,Baños,,Tungurahua,Latin America and the Caribbean,Americas,,,,,,,L601541,G601559,
2022-05-18,Ecuador,,Saucay hydroelectric plant,Central Hidroeléctrica Saucay,,24,No,24,0,,operating,,1978,,,,Elecaustro SA,,unknown,,-2.7549,-79.0131,exact,Cuenca,,,Azuay,Latin America and the Caribbean,Americas,,,,,,,L601544,G601562,
2022-05-18,Ecuador,,Saymirín hydroelectric plant,Central Hidroeléctrica Saymirín,,16,No,16,0,,operating,,1956,,,,Elecaustro SA,,unknown,,-2.8003,-79.0076,exact,Cuenca,,,Azuay,Latin America and the Caribbean,Americas,,,,,,,L601545,G601563,
2022-05-18,Ecuador,,Sibimbe hydroelectric plant,Central Hidroeléctrica Sibimbe,,15,No,15,0,,operating,,2006,,,,Hidrosibimbe SA,,run-of-river,,-1.4377,-79.3774,exact,,Ventanas,,Los Ríos,Latin America and the Caribbean,Americas,,,,,,,L601546,G601564,
2022-05-18,Ecuador,,Sigchos hydroelectric plant,Central Hidroeléctrica Sigchos,,19,No,19,0,,operating,,2017,,,,Hidrosigchos SA,,unknown,,-0.6482,-78.9095,exact,,Sigchos,,Cotopaxi,Latin America and the Caribbean,Americas,,,,,,,L601547,G601565,
2022-05-18,Ecuador,,Topo hydroelectric plant,Central Hidroeléctrica Topo,,29,No,29,0,,operating,,2017,,,,Proyectos Energéticos Ecuagesa SA,,unknown,,-1.3706,-78.2125,exact,,Baños,,Tungurahua,Latin America and the Caribbean,Americas,,,,,,,L601552,G601570,
