Wiki URL,Country/Area,Plant name,Plant Name in Local Language / Script,Other Name(s),Unit name,Fuel,Capacity (MW),Status,Turbine/Engine Technology,Equipment Manufacturer/Model,CHP,Hydrogen capable?,CCS attachment?,Conversion/replacement?,Conversion from/replacement of (fuel),Conversion from/replacement of (GEM unit ID),Conversion to (fuel),Conversion to (GEM unit ID),Start year,Retired year,Planned retire,Operator(s),Owner(s),Parent(s),Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,Other IDs (location),Other IDs (unit),Captive industry use,Captive industry type,Captive non-industry use,GEM location ID,GEM unit ID
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,1,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413909
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,2,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413908
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,3,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413907
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,4,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413906
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,5,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413905
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,6,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413904
https://www.gem.wiki/Abdan_Refinery_No.3_power_plant,Iran,Abdan Refinery No.3 power plant,,,7,fossil gas: natural gas,30,operating,steam turbine,MAN,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,oil & refining,power,L100000409002,G100000413903
https://www.gem.wiki/Abdan_Refinery_No.4_power_plant,Iran,Abdan Refinery No.4 power plant,,,1,fossil gas: natural gas,30,construction,gas turbine,not found,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,,,L100000409100,G100000413902
https://www.gem.wiki/Abdan_Refinery_No.4_power_plant,Iran,Abdan Refinery No.4 power plant,,,2,fossil gas: natural gas,30,construction,gas turbine,not found,not found,not found,not found,,,,,,,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,,,L100000409100,G100001009072
https://www.gem.wiki/Abdan_Refinery_No.4_power_plant,Iran,Abdan Refinery No.4 power plant,,,3,fossil gas: natural gas,30,construction,gas turbine,not found,not found,not found,not found,,,,,,2026,,,,National Iranian Oil Co [100%],National Iranian Oil Co [100.0%],30.358124,48.282745,exact,Abadan,,,Khuzestan,Southern Asia,Asia,,,,,,L100000409100,G100001009073
